DATE,CLOSE,VOLUME
17/09/2014,457.334015,21056800
18/09/2014,424.440002,34483200
19/09/2014,394.79599,37919700
20/09/2014,408.903992,36863600
21/09/2014,398.821014,26580100
22/09/2014,402.152008,24127600
23/09/2014,435.790985,45099500
24/09/2014,423.204987,30627700
25/09/2014,411.574005,26814400
26/09/2014,404.424988,21460800
27/09/2014,399.519989,15029300
28/09/2014,377.181,23613300
29/09/2014,375.46701,32497700
30/09/2014,386.944,34707300
01/10/2014,383.61499,26229400
02/10/2014,375.071991,21777700
03/10/2014,359.511993,30901200
04/10/2014,328.865997,47236500
05/10/2014,320.51001,83308096
06/10/2014,330.07901,79011800
07/10/2014,336.187012,49199900
08/10/2014,352.940002,54736300
09/10/2014,365.026001,83641104
10/10/2014,361.562012,43665700
11/10/2014,362.299011,13345200
12/10/2014,378.549011,17552800
13/10/2014,390.414001,35221400
14/10/2014,400.869995,38491500
15/10/2014,394.77301,25267100
16/10/2014,382.556,26990000
17/10/2014,383.757996,13600700
18/10/2014,391.441986,11416800
19/10/2014,389.54599,5914570
20/10/2014,382.845001,16419000
21/10/2014,386.475006,14188900
22/10/2014,383.15799,11641300
23/10/2014,358.416992,26456900
24/10/2014,358.345001,15585700
25/10/2014,347.270996,18127500
26/10/2014,354.70401,11272500
27/10/2014,352.989014,13033000
28/10/2014,357.618011,7845880
29/10/2014,335.591003,18192700
30/10/2014,345.304993,30177900
31/10/2014,338.321014,12545400
01/11/2014,325.748993,16677200
02/11/2014,325.891998,8603620
03/11/2014,327.553986,12948500
04/11/2014,330.492004,15655500
05/11/2014,339.485992,19817200
06/11/2014,349.290009,18797000
07/11/2014,342.415009,16834200
08/11/2014,345.488007,8535470
09/11/2014,363.264008,24205600
10/11/2014,366.924011,30450100
11/11/2014,367.695007,15838900
12/11/2014,423.561005,45783200
13/11/2014,420.734985,58945000
14/11/2014,397.817993,29589200
15/11/2014,376.132996,15727500
16/11/2014,387.881989,11905600
17/11/2014,387.40799,41518800
18/11/2014,375.197998,32222500
19/11/2014,380.554993,18931800
20/11/2014,357.839996,25233200
21/11/2014,350.847992,29850100
22/11/2014,352.920013,15273000
23/11/2014,367.572998,15151600
24/11/2014,376.901001,30930100
25/11/2014,375.347992,25442200
26/11/2014,368.369995,18601700
27/11/2014,369.670013,8748030
28/11/2014,376.446991,22946500
